"ZoneName","HostName","RecordType","RecordData"
"_msdcs.WS2-2223-Victor.hogent","@","NS","DnsServerResourceRecordNS"
"_msdcs.WS2-2223-Victor.hogent","@","SOA","DnsServerResourceRecordSoa"
"_msdcs.WS2-2223-Victor.hogent","844985da-c7b1-43da-acdd-ce68b99dd79b","CNAME","DnsServerResourceRecordCName"
"_msdcs.WS2-2223-Victor.hogent","_kerberos._tcp.Default-First-Site-Name._sites.dc","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","_ldap._tcp.Default-First-Site-Name._sites.dc","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","_kerberos._tcp.dc","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","_ldap._tcp.dc","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","_ldap._tcp.436e666c-2eaa-4a01-8920-ecb07138d181.domains","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","gc","A","DnsServerResourceRecordA"
"_msdcs.WS2-2223-Victor.hogent","gc","A","DnsServerResourceRecordA"
"_msdcs.WS2-2223-Victor.hogent","_ldap._tcp.Default-First-Site-Name._sites.gc","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","_ldap._tcp.gc","SRV","DnsServerResourceRecordSrv"
"_msdcs.WS2-2223-Victor.hogent","_ldap._tcp.pdc","SRV","DnsServerResourceRecordSrv"
"0.in-addr.arpa","@","NS","DnsServerResourceRecordNS"
"0.in-addr.arpa","@","SOA","DnsServerResourceRecordSoa"
"127.in-addr.arpa","@","NS","DnsServerResourceRecordNS"
"127.in-addr.arpa","@","SOA","DnsServerResourceRecordSoa"
"127.in-addr.arpa","1.0.0","PTR","DnsServerResourceRecordPtr"
"22.168.192.in-addr.arpa","@","NS","DnsServerResourceRecordNS"
"22.168.192.in-addr.arpa","@","SOA","DnsServerResourceRecordSoa"
"22.168.192.in-addr.arpa","1","PTR","DnsServerResourceRecordPtr"
"22.168.192.in-addr.arpa","2","PTR","DnsServerResourceRecordPtr"
"22.168.192.in-addr.arpa","3","PTR","DnsServerResourceRecordPtr"
"22.168.192.in-addr.arpa","4","PTR","DnsServerResourceRecordPtr"
"255.in-addr.arpa","@","NS","DnsServerResourceRecordNS"
"255.in-addr.arpa","@","SOA","DnsServerResourceRecordSoa"
"TrustAnchors","@","NS","DnsServerResourceRecordNS"
"TrustAnchors","@","SOA","DnsServerResourceRecordSoa"
"WS2-2223-Victor.hogent","@","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","@","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","@","NS","DnsServerResourceRecordNS"
"WS2-2223-Victor.hogent","@","SOA","DnsServerResourceRecordSoa"
"WS2-2223-Victor.hogent","_msdcs","NS","DnsServerResourceRecordNS"
"WS2-2223-Victor.hogent","_gc._tcp.Default-First-Site-Name._sites","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_kerberos._tcp.Default-First-Site-Name._sites","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_ldap._tcp.Default-First-Site-Name._sites","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_gc._tcp","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_kerberos._tcp","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_kpasswd._tcp","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_ldap._tcp","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_kerberos._udp","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_kpasswd._udp","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","dc","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","DomainDnsZones","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","DomainDnsZones","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_ldap._tcp.DomainDnsZones","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","exchange","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","ForestDnsZones","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","ForestDnsZones","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","_ldap._tcp.ForestDnsZones","SRV","DnsServerResourceRecordSrv"
"WS2-2223-Victor.hogent","HOST","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","mail","CNAME","DnsServerResourceRecordCName"
"WS2-2223-Victor.hogent","mailmx","MX","DnsServerResourceRecordMX"
"WS2-2223-Victor.hogent","SQL","A","DnsServerResourceRecordA"
"WS2-2223-Victor.hogent","web","CNAME","DnsServerResourceRecordCName"
"WS2-2223-Victor.hogent","www","A","DnsServerResourceRecordA"